cellule ;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested ;rsrp;sinr;bler_dl;ho_success_rate;ue_speed;call_drop_rate_pct;status
3678;43,09688138;72,33333333;9,557163647;4,53634882;2,899209363;4,741710782;0;-87,04;4,1;9,64;73,88;106,4;2,85;BAD_HANDOVER
3679;45,88040671;88,66666667;9,290524551;4,539362907;4,59468607;8,487642765;0;-99,92;0,1;13,05;70;76,5;3,9;BAD_HANDOVER
3680;14,23547118;57,16666667;9,620222805;4,539823532;2,004366459;2,441529393;0;-86,52;5,16;8,54;76,27;35,4;2;BAD_HANDOVER
3681;16,39247709;74;10,47304684;4,540653706;4,586894581;7,793662429;0;-94,51;1,95;12,17;70;20,4;3,05;BAD_HANDOVER
3682;6,276732215;6;11,42175184;4,540719032;1,028106378;0,044174075;0;-89,47;1,57;12,41;70;90,3;1,56;BAD_HANDOVER
3683;7,034123688;25,33333333;10,89649268;4,54115057;1,068484843;0,544579744;0;-93,54;1,89;12,31;70;23,1;1,63;BAD_HANDOVER
3684;50,69235864;72,33333333;9,783489864;4,542423725;3,368760014;5,847622156;0;-92,59;2,48;11,55;72,07;60,4;2,92;CONGESTED
3685;38,58598181;49,5;8,229005795;4,544386387;1,855285528;1,996950626;0;-86,01;4,67;8,07;79,57;36;1,65;BAD_HANDOVER
3686;33,20347968;63,16666667;9,870394629;4,545879841;3,033478863;4,478781104;0;-94,06;-0,28;13,62;70;4,2;2,93;BAD_HANDOVER
3687;50,84176462;42,66666667;10,00773646;4,546284676;2,194574474;2,746619821;0;-95,74;3,07;11,35;70;33,9;1,8;BAD_HANDOVER
3688;23,515231;38,83333333;7,640072757;4,546708584;1,332767487;1,130238056;0;-94,06;1,68;12,78;70;63,9;1,75;BAD_HANDOVER
3689;45,01474444;68,5;11,3008702;4,547150135;3,739857083;6,169800997;0;-89,52;4,07;9,15;79,56;53,9;2,56;BAD_HANDOVER
3690;27,3970436;33,66666667;8,637004018;4,548940182;1,46629942;0,911810398;0;-96,07;0,58;12,25;70;30;1,81;BAD_HANDOVER
3691;38,36966691;71,66666667;9,851225025;4,549005985;3,282401151;5,596491456;0;-99,61;1,85;12,7;71;74,6;2,9;BAD_HANDOVER
3692;12,61102102;8,5;10,76950502;4,549109459;1,856446017;0,399308681;0;-96,13;-0,11;15;70;103,2;1,83;BAD_HANDOVER
3693;41,95640401;67,33333333;9,366341783;4,549985409;2,448282682;3,437609315;0;-92,13;2,39;12,1;71,73;41,2;2,88;BAD_HANDOVER
3694;54,05971983;58,5;9,653791077;4,550177097;3,995662696;6,505563974;0;-95,07;2,25;12,04;70,47;84;2,51;BAD_HANDOVER
3695;54,97990789;62,5;9,044437736;4,551280022;3,305400264;5,403995514;0;-92,93;3,15;11,16;74,41;35,4;2,43;CONGESTED
3696;49,13861716;78,5;9,789272399;4,552131176;4,163609157;7,309648514;0;-98,76;1,56;13,35;70;26,2;3,44;BAD_HANDOVER
3697;31,33010592;44;8,904361009;4,55218029;1,459698843;1,356428027;0;-88,2;3,01;11,15;76,73;89,8;1,67;BAD_HANDOVER
3698;30,53637477;47;8,039537414;4,55436945;1,545309974;1,351634264;0;-93,07;3,92;9,6;78,36;56,4;1,67;BAD_HANDOVER
3699;41,76381934;60,16666667;9,889416474;4,555242062;2,309836136;3,06296587;0;-93,06;2,18;10,46;70;31,4;2,33;BAD_HANDOVER
3700;27,93307604;47;9,897771257;4,555608749;2,299390617;2,342000842;0;-94,85;2,97;11,03;76,41;71,7;1,8;BAD_HANDOVER
3701;35,87469443;45,16666667;8,028937864;4,556806564;1,715823454;1,622677088;0;-91,93;2,83;11,59;70,57;72,5;1,88;BAD_HANDOVER
3702;30,14906912;31;7,998318901;4,556923389;1,559010842;1,138308406;0;-95,41;1,8;11,35;70;53,6;1,71;BAD_HANDOVER
3703;4,695603557;5;10,09964767;4,557142735;0,940860215;0,000190139;0;-95,72;3,29;11,77;72,56;39;1,56;BAD_HANDOVER
3704;6,715752508;8;9,568984108;4,557470322;0,974216835;0,106459856;0;-91,04;1,4;14,9;70;46,3;1,89;BAD_HANDOVER
3705;42,39017889;56;9,183493223;4,559677601;2,283936959;3,18462193;0;-96,51;1,38;11,88;70;93,4;2,45;BAD_HANDOVER
3706;15,18972408;6;11,85731941;4,560773373;1,234068896;0,189667225;0;-95,28;0,06;13,71;70;106,2;2,01;BAD_HANDOVER
3707;31,15032649;34,16666667;8,843726568;4,561028957;1,473634386;1,171381831;0;-101,93;-0,53;14,33;70;23,1;2,01;BAD_HANDOVER
3708;43,4413955;58,83333333;7,165006912;4,561073303;2,128829967;2,792663336;0;-96,19;2;11,13;70,58;115,6;2,44;BAD_HANDOVER
3709;43,72055532;68;8,631807528;4,561255455;2,829578872;4,400603414;0;-101,22;-0,84;15;70;58,5;3,42;BAD_HANDOVER
3710;35,46691616;48,16666667;9,882950435;4,561274529;2,254070414;3,165946007;0;-99,69;-0,96;13,69;70;15,9;2,34;BAD_HANDOVER
3711;29,14120556;58,66666667;9,488545508;4,56132412;2,441284835;3,024298668;0;-98,35;-0,2;14,56;70;84,8;2,85;BAD_HANDOVER
3712;14,60797728;20,33333333;7,970224352;4,561727524;1,289468367;0,530955195;0;-85,47;5,33;9,38;77,36;64,3;1,14;BAD_HANDOVER
3713;14,84708957;25;8,877861867;4,561760426;1,190015893;0,600992322;0;-89,45;2,36;10,85;74,67;11,7;1,43;BAD_HANDOVER
3714;34,20783908;36,5;8,083300548;4,562971592;1,435214133;1,222342253;0;-93,38;2,55;11,03;71,8;61,6;1,48;BAD_HANDOVER
3715;26,75741383;41,5;6,650747666;4,563340187;1,267537664;1,080769539;0;-93,47;1,4;10,64;74,27;55,3;1,56;BAD_HANDOVER
3716;9,644750267;14,16666667;10,85781636;4,565529823;1,188771029;0,272522449;0;-89,07;4,71;10,31;77,02;61,2;1,44;BAD_HANDOVER
3717;36,77373764;50,33333333;8,260676002;4,566559315;2,050381698;2,293340921;0;-105,38;-3,38;15;70;23,3;2,88;BAD_HANDOVER
3718;37,77337659;41,33333333;10,84598404;4,566661835;3,522801628;4,378223538;0;-101,2;-0,84;14,13;70;77,4;2,23;BAD_HANDOVER
3719;21,62510046;19,83333333;7,611808423;4,566969395;1,194570831;0,685240746;0;-95,29;0,98;12,38;70,19;0,1;1,76;BAD_HANDOVER
3720;4,282826632;8,833333333;6,787837882;4,567679882;1;0,002095819;0;-98,87;-2,81;15;70;29,2;2,2;BAD_HANDOVER
3721;22,37448369;37,66666667;6,297758877;4,569019318;1,267813168;0,869000077;0;-101,49;-1,39;15;70;74,2;2,22;BAD_HANDOVER
3722;42,35347588;70,66666667;9,269976484;4,570650578;3,123676718;4,926553488;0;-97,11;0,29;14,73;70;14,8;3,35;BAD_HANDOVER
3723;47,79700052;67,83333333;9,801653366;4,571094513;3,444330565;5,53951478;0;-91,89;1,61;12,11;70;24,6;2,91;BAD_HANDOVER
3724;7,393183038;8,5;10,70506962;4,572268009;1,239561675;0,103335142;0;-90,24;1,11;11,68;70;54,4;1,84;BAD_HANDOVER
3725;21,36056019;30,83333333;8,852413755;4,572469234;1,146730982;0,72125423;0;-95,35;-0,42;13,52;70;36,3;1,85;BAD_HANDOVER
3726;46,04978472;76,16666667;9,681254631;4,573750019;4,150786392;6,94074595;0;-93,55;2,57;11,66;70;110,5;3,18;BAD_HANDOVER
3727;48,64865389;62;9,860839243;4,574215412;3,278179749;4,827187538;0;-91,93;2,14;11,42;70,74;42,1;2,66;BAD_HANDOVER
3728;13,76414002;9,333333333;9,34070984;4,574227333;1,019303325;0,160871029;0;-107,93;-2,99;15;70;119,7;2,6;BAD_HANDOVER
3729;18,3734402;23,5;8,138134002;4,575588226;1,440931499;0,730188131;0;-91,8;2,6;11,09;72,58;76,2;1,67;BAD_HANDOVER
3730;26,34191878;61,5;11,0065556;4,575605392;1,609324623;2,194726229;0;-105,38;-0,72;15;70;5;3,23;BAD_HANDOVER
3731;21,59327166;22,83333333;8,904030543;4,576328278;1,262904167;0,651539087;0;-93,4;1,18;12,6;70,58;34,8;1,61;BAD_HANDOVER
3732;5,906984351;7,333333333;9,288685717;4,577602386;1,033874899;0,123378396;0;-92,29;1,18;10,66;71,87;97,1;1,57;BAD_HANDOVER
3733;46,66749446;78,33333333;9,950121775;4,577820301;3,609203828;6,368010998;0;-92,01;2,53;11,83;71,03;42,5;3,38;BAD_HANDOVER
3734;17,25645204;34;10,22189589;4,578447819;3,449494282;2,790272713;0;-97,92;0,84;13,25;70;105,1;1,78;BAD_HANDOVER
3735;16,67892387;19,83333333;9,580680267;4,57869482;1,200363308;0,550394773;0;-92,04;1,5;13,71;70,54;91;1,89;BAD_HANDOVER
3736;36,59705474;62,66666667;9,66312218;4,578712463;2,942796627;3,510436893;0;-92,07;3,96;10,68;72,43;81,2;2,54;BAD_HANDOVER
3737;28,85259917;31,83333333;9,96882038;4,579055309;1,53316987;1,057413816;0;-90,18;2,71;11,46;73,1;25,9;1,38;BAD_HANDOVER
3738;34,2800833;59,66666667;8,042814176;4,579143524;2,01897979;2,686852455;0;-102,82;-2,2;15;70;80,6;3,09;BAD_HANDOVER
3739;28,59619955;26,16666667;8,520725962;4,579471588;1,358985561;0,906850934;0;-99,16;1,47;13,69;70;56,6;1,83;BAD_HANDOVER
3740;30,1410499;58,16666667;9,850286564;4,579619884;2,22349648;3,049011946;0;-93,33;6,01;7,56;83,64;117,8;1,85;GOOD_CELL
3741;15,56725619;24,66666667;8,917377524;4,580694199;1,038062673;0,503468513;0;-96,08;0,3;12,26;71,45;80,5;1,94;BAD_HANDOVER
3742;25,81844432;60,66666667;9,585929158;4,580815315;1,456775671;1,861954451;0;-91,56;2,25;13,25;70;38,3;2,72;BAD_HANDOVER
3743;41,70173635;65,5;8,139627303;4,581927776;1,537518751;2,122359276;0;-92,64;3,4;12,62;70;36,5;2,63;BAD_HANDOVER
3744;49,12445619;57;9,632594006;4,583192825;2,861785177;4,406918168;0;-93,96;1,21;12,96;70;66,3;2,62;BAD_HANDOVER
3745;39,77911918;56,16666667;9,649809586;4,58357048;2,15390385;3,288905859;0;-92,77;1,37;12,31;72,06;114,8;2,61;BAD_HANDOVER
3746;12,6230339;17;11,9325911;4,584067345;1,092418568;0,385915756;0;-94,11;1,19;12,14;70;103,4;1,66;BAD_HANDOVER
3747;36,72597415;64;8,932724724;4,586229801;2,54743841;3,657529354;0;-99,38;0,6;15;70;37,8;2,96;BAD_HANDOVER
3748;42,49440951;67;10,21370257;4,586370945;3,246628757;5,259229898;0;-92,35;2,75;11,59;71,27;24,2;2,64;BAD_HANDOVER
3749;18,66709964;22,16666667;9,579819138;4,588538647;1,204484799;0,556190372;0;-98,19;0,11;13,48;70;21,6;1,82;BAD_HANDOVER
3750;15,80603216;25;8,05669371;4,588758469;1,057079649;0,469174743;0;-87,25;4,47;9,66;75,17;36;1,34;BAD_HANDOVER
3751;42,69227666;51;8,925797908;4,588767052;1,950326585;2,341937304;0;-89,67;3,74;10,16;73,01;78,1;1,83;BAD_HANDOVER
3752;23,39654324;81,16666667;8,226158026;4,589592457;1,04948968;1,712571979;0;-98,45;-1,15;15;70;116,5;3,79;BAD_HANDOVER
3753;49,44552921;78,5;8,994941113;4,589858055;3,820113219;5,044357896;0;-94,21;-0,05;14,06;70;10,7;3,53;BAD_HANDOVER
3754;13,80243932;18,83333333;7,22360486;4,590481758;1,134156711;0,389049053;0;-102,14;0,67;12,16;70;104,7;1,9;BAD_HANDOVER
3755;22,27677044;38,5;11,45334297;4,591629982;1,219206903;0,957603455;0;-94,53;0,41;12,88;70;1,4;1,85;BAD_HANDOVER
3756;12,09562346;17,83333333;9,106274828;4,592882156;1,082792492;0,352595329;0;-87,23;3,98;10,05;70;58,6;1,38;BAD_HANDOVER
3757;41,25157851;68,66666667;11,0370179;4,592891216;4,261861458;7,518302202;0;-94,07;0,48;13,98;70;115,1;3,2;BAD_HANDOVER
3758;11,87965812;28;10,39504398;4,593479156;1,470384071;0,863437533;0;-90,29;4,92;9,45;73,58;36,7;1,21;BAD_HANDOVER
3759;26,54137708;29,66666667;10,92623918;4,593482494;1,972411715;1,838494658;0;-88,88;3,21;10,2;76,63;47,6;1,24;BAD_HANDOVER
3760;11,70722388;19,16666667;9,082940443;4,594938755;1,068010878;0,086258411;0;-94,31;2,98;9,78;73;110;1,39;BAD_HANDOVER
3761;29,57470021;61,5;9,459924054;4,596252918;1,672470275;1,683973312;0;-89,41;2,35;11,17;71;97,2;2,64;BAD_HANDOVER
3762;40,96268347;72,33333333;10,2993998;4,599623203;4,149780033;7,191323876;0;-96,06;0,99;15;70;61,5;3,28;BAD_HANDOVER
3763;23,59292394;38,33333333;7,730066581;4,60003233;1,077344133;0,842285633;0;-93,88;5,42;9,41;78,6;29,9;1,22;BAD_HANDOVER
3764;46,3485705;69,16666667;8,104730386;4,600251675;2,416961071;3,654602766;0;-102,59;-1,86;15;70;40;3,46;BAD_HANDOVER
3765;24,93049635;63,5;9,090052758;4,600809574;1,034309087;0,076140404;0;-98,68;-0,06;14,95;70;30,5;2,93;BAD_HANDOVER
3766;27,574012;38;6,814468402;4,605965614;1,223448149;0,961737514;0;-96,79;1,88;11,76;70,02;109,5;1,66;BAD_HANDOVER
3767;26,72259356;32,16666667;8,597121377;4,606143475;1,329360013;0,767791986;0;-92,26;2,36;11,42;70,53;40;1,69;BAD_HANDOVER
3768;37,78292434;58,16666667;10,91064251;4,60633564;2,770072049;4,608084202;0;-100,58;0,44;13,52;70;33,2;2,5;BAD_HANDOVER
3769;44,99044198;91,83333333;10,71096218;4,607170582;5,079469898;9,829761863;0;-94,22;1,13;11,59;72,12;100,2;3,81;BAD_HANDOVER
3770;33,19255191;34,16666667;9,646590256;4,60735178;1,637169492;1,461432457;0;-103;-1,24;15;70;21,5;2,18;BAD_HANDOVER
3771;7,707174321;7;9,046502669;4,607624531;1,156307509;0,104228139;0;-96,99;0,68;11,62;73,54;43,1;1,75;BAD_HANDOVER
3772;12,87565139;19,83333333;11,38061356;4,607701302;1,127622309;0,427900195;0;-98,5;-0,26;14,62;70;92,9;1,99;BAD_HANDOVER
3773;14,32107698;27,66666667;10,88575976;4,608014107;1,218801349;0,692672014;0;-87,05;-0,16;14,85;70;75,7;2,01;BAD_HANDOVER
3774;43,66060918;37,5;9,556931811;4,609864712;1,875260817;2,339842439;0;-98,83;2,76;11,53;75,27;84,2;1,61;BAD_HANDOVER
3775;46,66460714;72,5;8,483940682;4,610464573;2,910127206;4,775182009;0;-95,79;3,98;10,73;74,09;99,4;2,93;BAD_HANDOVER
3776;27,83876765;84,16666667;8,353001155;4,610768318;2,734332059;4,862720132;0;-90,54;3,56;9,92;72,98;95,1;3,25;BAD_HANDOVER
3777;39,18497819;45,5;8,864421061;4,612213612;1,575325916;1,778645873;0;-98,6;2,05;11,47;70,57;73,3;2,05;BAD_HANDOVER
3778;20,01066015;38,5;7,339729984;4,614008427;1,216773533;0,912985444;0;-92,86;1,93;14,01;70;4,1;1,74;BAD_HANDOVER
3779;11,6718359;14,83333333;7,715774366;4,614766598;1,007596632;0,268153071;0;-95,6;3,59;9,97;74,22;110,9;1,52;BAD_HANDOVER
3780;12,67646492;14,5;8,960346542;4,614817142;1,108664615;0,296471715;0;-99,61;1,91;10,88;72,79;25,9;1,64;BAD_HANDOVER
3781;21,16789235;22,5;9,368457214;4,615530014;1,296237656;0,683798313;0;-98,87;-0,71;15;70;88;2,02;BAD_HANDOVER
3782;24,28690589;29,66666667;8,489201759;4,616212368;1,214629851;0,68700695;0;-91,25;3,43;8,07;78,44;91,3;1,37;BAD_HANDOVER
3783;42,03892384;40,83333333;10,82456622;4,616659164;1,914438611;2,087973237;0;-98,02;1,47;11,72;72,27;70,6;1,77;BAD_HANDOVER
3784;37,25079031;79;10,20370463;4,616796494;3,970201653;7,062828779;0;-91,23;3,88;9,64;75,91;44,1;3,13;BAD_HANDOVER
3785;3,615723933;7;8,036708396;4,619476318;0,965753425;0,006056428;0;-94,87;0,5;12,49;70;101,9;1,94;BAD_HANDOVER
3786;9,390292413;9,333333333;9,693637607;4,620137215;1,126564788;0,180962086;0;-99,28;-0,08;13,59;70;30,2;1,96;BAD_HANDOVER
3787;45,81397689;62,5;10,34260991;4,620232105;2,243195373;3,314730644;0;-95,37;0,16;14,93;70;62,2;2,83;BAD_HANDOVER
3788;19,15899424;56,66666667;8,044364729;4,622231483;1,053394707;1,189507961;0;-84,43;3,41;9,94;79,51;114,9;2,25;BAD_HANDOVER
3789;9,459113988;12;5,049870053;4,623001575;1,005468001;0,195279002;0;-94,68;0,46;13,01;70,19;21,4;1,83;BAD_HANDOVER
3790;43,29339014;54,66666667;9,789359657;4,625179768;2,621115156;3,711375475;0;-98,94;1,96;13,1;70;55,6;2,49;BAD_HANDOVER
3791;27,90219968;27,5;8,650036007;4,626939774;1,308853026;0,830709934;0;-93,36;0,69;14,59;70;51,3;2,07;BAD_HANDOVER
3792;27,8101975;38,33333333;10,53373045;4,627572536;1,479899324;1,230629921;0;-96,94;1,65;10,81;76,43;20,3;1,64;BAD_HANDOVER
3793;47,54966992;69,5;9,792536624;4,628396034;3,655133234;5,995818973;0;-101,98;-0,24;13,1;70;11;3,29;BAD_HANDOVER
3794;12,46751585;12,66666667;9,651209663;4,629063606;1,323321597;0,339506269;0;-93,15;4,67;7,64;79,39;43,6;1,18;BAD_HANDOVER
3795;27,09615854;38,5;9,379737332;4,629662991;1,337994282;1,078807712;0;-99,99;0,02;12,73;70;58,9;1,89;BAD_HANDOVER
3796;24,80100681;25,5;9,363249479;4,629682541;1,3715935;0,80517745;0;-88,82;4,21;10,49;77,81;115,9;1,49;BAD_HANDOVER
3797;29,34015535;27,66666667;8,680233771;4,629724979;1,62436205;1,084697723;0;-89,42;3,48;11,07;72,17;76,7;1,64;BAD_HANDOVER
3798;10,47526504;7,833333333;7,907044263;4,632782459;1,068905065;0,1616292;0;-91,62;1,81;11,42;70;110,7;1,5;BAD_HANDOVER
3799;10,10082814;9,833333333;8,88502876;4,633255959;1,174466447;0,215681553;0;-94,89;0,3;13,26;70;80,4;1,68;BAD_HANDOVER
3800;27,02747125;48,16666667;7,608572305;4,634105206;1,446458569;1,30713892;0;-99,36;0,59;14,02;70;70,9;2,3;BAD_HANDOVER
3801;21,06791081;18,5;10,94088718;4,634148121;2,474224312;1,555191398;0;-93,56;2,83;12,27;73,2;15,3;1,52;BAD_HANDOVER
3802;29,08690867;35,16666667;7,842520482;4,634293079;1,53693757;1,219435096;0;-98,81;1,71;11,88;70;74,9;1,7;BAD_HANDOVER
3803;33,70557378;44,66666667;9,214166641;4,634719372;1,862100529;1,861271858;0;-89,65;1,94;11,02;71,05;82,5;1,96;BAD_HANDOVER
3804;15,81267164;26,16666667;9,774779978;4,63547945;1,137291708;0,604647517;0;-101,88;-0,81;15;70;55,7;2,22;BAD_HANDOVER
3805;50,17267316;53;9,91760422;4,635529995;2,840724167;4,319449902;0;-87,74;2,7;14,02;70;70,6;2,33;BAD_HANDOVER
3806;24,43634402;57,33333333;7,787140563;4,636046886;2,124642866;2,712893367;0;-95,54;2,79;12,23;70;1,9;2,34;BAD_HANDOVER
3807;19,92804546;22;9,009511576;4,636304379;1,234724265;0,436538219;0;-98,46;-0,2;15;70;42,9;1,91;BAD_HANDOVER
3808;26,19502594;52,66666667;8,495470455;4,640797138;2,225383413;2,553869963;0;-100,73;0,11;12,81;70;12,4;2,48;BAD_HANDOVER
3809;13,51661943;24,16666667;8,083356632;4,640984535;1,015633417;0,502757907;0;-92,16;-0,56;14,14;70;32,2;2,06;BAD_HANDOVER
3810;21,48196931;31;10,36071993;4,644221783;1,326098435;0,834240079;0;-92,88;2,19;10,15;77,46;114,1;1,45;BAD_HANDOVER
3811;10,17922804;27,83333333;10,36009111;4,644635677;1,196180389;0,544637084;0;-91,3;2,77;11,36;74,52;106;1,59;BAD_HANDOVER
3812;47,47295225;48,66666667;8,954736727;4,645537853;2,206809158;3,064918041;0;-95,54;0,25;14,03;70;108,7;2,41;BAD_HANDOVER
3813;54,39775072;80,33333333;9,656044964;4,647411346;3,16633921;5,480245113;0;-97,92;-0,09;14,15;70;63,1;3,69;CONGESTED
3814;45,7800226;59,5;8,579971362;4,647438526;2,803344012;4,230517983;0;-94,48;0,26;12,78;70;20,4;2,67;BAD_HANDOVER
3815;35,78825936;45,66666667;9,464954641;4,648655891;1,896405722;2,112725258;0;-101,08;-0,77;15;70;23,7;2,36;BAD_HANDOVER
3816;21,66287022;15,66666667;8,752948744;4,648663044;1,204478886;0,617770791;0;-95,84;1,13;12,5;70;103,6;1,93;BAD_HANDOVER
3817;28,48346254;33,66666667;9,177598482;4,648750782;1,372379381;0,927157402;0;-99,2;0,22;12,68;70,02;81,2;1,76;BAD_HANDOVER
3818;44,74299185;70,5;9,431892908;4,650456905;3,296427327;5,412412643;0;-88,6;5,11;10,49;71,33;119,4;2,74;BAD_HANDOVER
3819;42,70992574;69,66666667;9,258952288;4,651073933;3,161198787;5,099581957;0;-92,68;4;9,69;76,7;89;2,54;BAD_HANDOVER
3820;30,0446629;52,66666667;7,581572668;4,652042389;1,34248364;1,444844723;0;-97,02;1,89;12,17;70;18,4;2,17;BAD_HANDOVER
3821;16,87987252;39,66666667;10,82497115;4,65215826;1,074990098;0,177602172;0;-97,59;-0,72;12,67;70,68;43,9;2,02;BAD_HANDOVER
3822;23,94350075;40,33333333;8,929708622;4,65237236;1,804769557;1,574700594;0;-89,73;4,02;11,28;71,8;107,9;1,49;BAD_HANDOVER
3823;46,51873529;64,83333333;8,571057764;4,65280056;2,811140356;4,467872977;0;-98,18;-0,14;15;70;82,7;3,05;BAD_HANDOVER
3824;44,72828963;46,66666667;9,651085507;4,652923584;2,461767358;3,35305202;0;-95,7;1,98;11,9;71,18;109,2;2,03;BAD_HANDOVER
3825;45,99489902;75;9,240414514;4,654401302;3,420129393;5,900054455;0;-92,18;2,5;10,97;73,31;108;3,08;BAD_HANDOVER
3826;5,552567264;6,333333333;7,838368933;4,655817986;1,000382764;0,047869086;0;-98,84;-0,16;14,55;70;61,8;1,83;BAD_HANDOVER
3827;21,39847566;36,16666667;7,763875431;4,657124519;1,294477208;0,945390463;0;-88,68;4,45;8,8;74,31;5,7;1,34;BAD_HANDOVER
3828;42,4676921;85;10,59914545;4,657371998;5,190451881;9,997384667;0;-93,71;3,44;8,71;75,63;65;3,06;BAD_HANDOVER
3829;15,55002289;21,16666667;7,423188505;4,657893181;1,245396558;0,517128587;0;-87,1;2,38;11,48;71,86;14,2;1,54;BAD_HANDOVER
3830;30,77571791;72,16666667;9,707870189;4,658441067;3,543679449;5,765939593;0;-94,97;1,66;11,03;76,69;29,7;3,12;BAD_HANDOVER
3831;18,93011157;32,83333333;6,297055932;4,658634186;1,078338219;0,680438399;0;-81,06;7,93;5,94;87,93;98,6;0,88;GOOD_CELL
3832;53,24733147;70,83333333;10,54236873;4,659989834;3,994042532;7,302630544;0;-92,97;-0,39;15;70;59,8;3,39;CONGESTED
3833;6,052633443;6;10,03144821;4,660732269;1,034211575;0,064882159;0;-94,06;-1,56;14,93;70;56,9;2;BAD_HANDOVER
3834;45,77083316;62,83333333;9,372005115;4,661260605;2,35908055;3,351021767;0;-101,65;-0,49;15;70;33,8;2,91;BAD_HANDOVER
3835;47,63086837;62,66666667;9,225396538;4,66194582;3,207720055;4,739913225;0;-93,7;1,25;12,86;70;85,8;2,66;BAD_HANDOVER
3836;39,40135593;76,5;9,502496154;4,662018776;3,328827479;5,611402988;0;-101,93;-1,3;14,55;70;13,4;3,7;BAD_HANDOVER
3837;44,93982533;72,16666667;9,297106921;4,662531853;3,827474899;6,455430984;0;-96,44;-1,72;15;70;82,4;3,38;BAD_HANDOVER
3838;38,00664303;44,16666667;8,886377487;4,662916183;1,622930974;1,675989032;0;-96,65;1,31;13,47;70;92,9;2,11;BAD_HANDOVER
3839;20,05586177;26,16666667;6,885734712;4,66298151;1,259381246;0,687162399;0;-90,53;0,77;12,23;70;89;1,76;BAD_HANDOVER
3840;35,71814151;58,16666667;9,281950502;4,663496494;2,760834006;4,092056155;0;-96,55;1,46;12,9;70;101,9;2,65;BAD_HANDOVER
3841;9,110545018;12,66666667;9,022736732;4,663684845;1,014299016;0,21074903;0;-96,4;1,46;13,54;70;70,6;1,82;BAD_HANDOVER
3842;12,13243015;61,83333333;9,159144447;4,66499424;3,280168338;4,87280488;0;-98,93;-1,61;15;70;117;3,21;BAD_HANDOVER
3843;49,93721954;68,5;8,657395484;4,665353775;2,736009518;4,587069631;0;-96,83;0,08;14,71;70;113,4;3,45;BAD_HANDOVER
3844;41,48154146;57,83333333;10,04673387;4,665358543;1,99841907;2,603291154;0;-97,79;1,44;13,66;70;107,4;2,7;BAD_HANDOVER
3845;42,94397298;60,33333333;10,65648922;4,665582657;2,166961961;3,230451107;0;-85,93;5,63;9,4;74,12;48,7;2,28;BAD_HANDOVER
3846;29,24514685;7,833333333;13,50038042;4,666161537;1,288106224;0,456088662;0;-99,29;-1,66;15;70;108,2;2,23;BAD_HANDOVER
3847;38,77793437;58,16666667;11,01742995;4,667402744;3,085986339;5,228006721;0;-100,75;-2,28;15;70;106,1;2,98;BAD_HANDOVER
3848;11,16462022;14,33333333;9,868984866;4,667534828;1,02355867;0,286710978;0;-98,12;0,85;12,8;70;76,4;1,87;BAD_HANDOVER
3849;16,23301575;21,5;10,07479586;4,667922974;1,083931501;0,496026039;0;-89,56;4,71;9,56;74,58;116,3;1,33;BAD_HANDOVER
3850;54,078325;71;9,992624904;4,668497086;4,066412192;7,147680879;1;-104,7;-0,07;14,52;70;97,3;3,53;CONGESTED
3851;28,4466778;56,5;10,54317602;4,668588161;1,514994439;1,794474602;0;-88,04;3,14;9,53;76,66;16,6;2,14;BAD_HANDOVER
3852;17,3532498;25;8,919411112;4,669001579;1,212266571;0,607517838;0;-99,65;0,05;14,53;70;116,6;2,13;BAD_HANDOVER
3853;40,36803647;27,33333333;10,1846581;4,669208527;1,737710028;1,610574841;0;-99,97;-0,09;14,37;70;76,4;1,99;BAD_HANDOVER
3854;27,32088451;39,66666667;7,648917462;4,669474602;1,424204913;1,194418788;0;-101,65;-0,98;14,54;70;84,2;2,21;BAD_HANDOVER
3855;44,88081104;41,66666667;9,133881402;4,670765877;2,298224162;3,069417834;0;-92,76;2,33;11,19;72,59;50,7;1,69;BAD_HANDOVER
3856;51,08563369;81,5;9,322240518;4,671355724;3,234998811;5,686941624;0;-98,48;-0,88;14,83;70;23,4;3,83;CONGESTED
3857;26,28364722;39,5;7,395435281;4,671646595;1,441085292;1,19291997;0;-94,21;2,84;10,08;74,93;118,9;1,35;BAD_HANDOVER
3858;35,64479322;65,66666667;8,871036067;4,672068596;2,301100997;3,257689595;0;-94,94;-0,7;13,7;70;0,7;3,15;BAD_HANDOVER
3859;21,26240435;31,5;8,886281572;4,672523022;1,283839342;0,777844071;0;-107,08;-0,91;14,36;70;78,9;2,23;BAD_HANDOVER
3860;23,95642364;37,33333333;8,695826145;4,673335552;1,331766528;0,923389316;0;-95,46;1,4;12,4;70;96;1,86;BAD_HANDOVER
3861;48,60177613;52,16666667;9,978287488;4,673377991;2,988657019;4,556292534;0;-93,1;1,86;11,67;71,87;68,4;2,27;BAD_HANDOVER
3862;27,78687339;30,33333333;8,007998676;4,673437595;1,484295569;1,04513514;0;-101,44;0,41;12,74;70;95,7;1,82;BAD_HANDOVER
3863;37,6830436;67,33333333;8,828915828;4,673967838;2,42309794;3,651692867;0;-101,72;-1,45;14,54;70;17;3,29;BAD_HANDOVER
3864;24,19603798;30;9,54551651;4,674025536;1,659358848;1,110494256;0;-95,47;2,15;11,38;71,23;23,1;1,5;BAD_HANDOVER
